Chromosome	Transposon Position	Transposon	Region	Transcript Name	Gene Name	Biotype	Phenotype	GO Annotation	Number of Strains	Strains
IV	4757037	MARINER2	intergenic	NA	NA	NA	NA	NA	1	CB4856
IV	4763228	Chapaev-1_CE	promoter	Y17G9B.2	NA	protein_coding	NA	NA	3	MY16,MY23,NIC207
IV	4889878	MIRAGE1	promoter	T08B6.5	NA	protein_coding	NA	GO:0003676,GO:0000166	1	NIC268
IV	4919385	Tc1	CDS	Y9C9A.9	str-158	protein_coding	NA	GO:0019915	1	CB4851
IV	4938592	Tc3	promoter	Y9C9A.12	fbxa-86	protein_coding	NA	GO:0005515	1	DL238
IV	4938592	Tc3	promoter	Y9C9A.6	str-168	protein_coding	NA	NA	1	DL238
IV	5075231	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	JU258
IV	5112394	Tc5	CDS	AC7.3	NA	protein_coding	NA	NA	1	NIC242
IV	5114997	Tc1	intron	AC7.1	tkr-3	protein_coding	maternal sterile,sick,embryonic lethal	GO:0004930,GO:0007186,GO:0016021,GO:0004983,GO:0000003,GO:0009792,GO:0000003,GO:0006915,GO:0048477	1	CB4851
IV	5176658	NPAL5A_CE	intron	W03F8.5	lam-1	protein_coding	sterile,maternal sterile,larval lethal,embryonic lethal	GO:0005604,GO:0040017,GO:0060465,GO:0005515,GO:0009792,GO:0010171,GO:0040011,GO:0000003,GO:0009792,GO:0009792,GO:0009792,GO:0002119,GO:0000003,GO:0016477	4	QX1791,QX1792,QX1793,QX1794
IV	5213866	Tc1	intron	Y59E9AL.4	NA	protein_coding	NA	GO:0005215,GO:0006810,GO:0016020,GO:0055085	1	ECA252
IV	5288005	MARINCE1	intergenic	NA	NA	NA	NA	NA	2	ECA36,QX1211
IV	5437158	Tc1	promoter	Y4C6A.2	mgl-3	protein_coding	NA	GO:0010884,GO:0007186,GO:0016021,GO:0004930,GO:0006629,GO:0019915	1	CB4851
IV	5437644	Tc1	promoter	Y4C6A.2	mgl-3	protein_coding	NA	GO:0010884,GO:0007186,GO:0016021,GO:0004930,GO:0006629,GO:0019915	1	ECA252
IV	5600068	Tc1	intron	F26D12.1	fkh-7	protein_coding	NA	GO:0003700,GO:0006355,GO:0043565	1	ECA252
IV	5613056	Tc1	intron	C39H7.4	NA	protein_coding	NA	GO:0045087	1	CB4851
IV	5637403	Tc1	promoter	C39H7.7	srd-13	protein_coding	NA	NA	1	QX1791
IV	5642931	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
IV	5753198	Tc1	intron	C45E5.6	nhr-46	protein_coding	NA	GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0043401,GO:0008270,GO:0043565,GO:0003677	1	CB4851
IV	5782899	MARINER2	intergenic	NA	NA	NA	NA	NA	21	AB1,CB4851,CB4856,DL238,ECA252,JU1652,JU1896,JU2001,JU311,JU394,JU751,JU778,MY16,MY23,NIC251,NIC259,NIC262,QX1791,QX1792,QX1793,QX1794
IV	5784356	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
IV	5837649	HELITRONY3_CE	promoter	C06E7.2	NA	protein_coding	NA	NA	1	QX1211
IV	5962892	Tc3	promoter	K02B2.6	NA	protein_coding	embryonic lethal	GO:0009792	9	AB1,CB4851,ECA252,JU1652,JU1896,JU311,JU394,NIC259,NIC262
IV	5964548	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
IV	5984472	Tc1	intron	B0350.2	unc-44	protein_coding	slow growth	GO:0016328,GO:0033563,GO:0040011,GO:0040018,GO:0050839,GO:0005515,GO:0007165,GO:0040018,GO:0010171,GO:0040011,GO:0040018,GO:0010171,GO:0040011,GO:0040018,GO:0010171,GO:0040011,GO:0040011,GO:0007126,GO:0016358,GO:0007411	4	JU778,QX1791,QX1792,QX1794
IV	5984472	Tc1	gene	B0350.29	21ur-8016	other	NA	NA	4	JU778,QX1791,QX1792,QX1794
IV	6014785	MARINCE1	gene	C46G7.110	NA	other	NA	NA	2	ECA36,QX1211
IV	6014785	MARINCE1	promoter	C46G7.2	NA	protein_coding	sterile,larval lethal,slow growth,early larval arrest	GO:0031672,GO:0055120,GO:0002119,GO:0040011,GO:0008340,GO:0000003	2	ECA36,QX1211
IV	6019973	Tc1	three_prime_UTR	C46G7.4	pqn-22	protein_coding	embryonic lethal	GO:0009792	1	CB4851
IV	6042102	Tc1	gene	C46G7.11	21ur-919	other	NA	NA	1	ECA252
IV	6042102	Tc1	intron	H16O14.1	kcc-2	protein_coding	NA	GO:0006813,GO:0006821,GO:0022820,GO:0032228,GO:0006810,GO:0016020,GO:0055085,GO:0006811,GO:0015377,GO:0016021	1	ECA252
IV	6087411	LTRCER1	gene	K08B4.5	K08B4.5	pseudogene	NA	NA	1	QG2075
IV	6140366	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	6149500	LINE2D	gene	H10D12.2	H10D12.2	pseudogene	NA	GO:0000003,GO:0000003	2	ECA36,QX1211
IV	6224375	Tc1	CDS	C49A9.3	NA	protein_coding	NA	NA	1	CB4851
IV	6240654	WBT00000416	intron	F58F9.9	NA	protein_coding	NA	NA	4	DL238,MY16,MY23,QX1792
IV	6242710	PALNN1_CE	gene	F58F9.10	F58F9.10	pseudogene	NA	NA	1	JU1491
IV	6267082	WBT00000207	promoter	T13A10.6	srv-29	protein_coding	NA	GO:0016021	1	MY16
IV	6343113	Tc5	promoter	Y73B6BL.14	NA	protein_coding	NA	GO:0003677,GO:0003910,GO:0006281,GO:0006310	1	CB4856
IV	6347372	LINE2A	promoter	Y73B6BL.289	NA	protein_coding	NA	GO:0019915,GO:0019915,GO:0019915	1	JU642
IV	6388147	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	6392685	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	6432922	CELE45	promoter	Y73B6BL.25	acp-7	protein_coding	NA	GO:0003993	5	JU778,QX1791,QX1792,QX1793,QX1794
IV	6432927	MARINER4	promoter	Y73B6BL.25	acp-7	protein_coding	NA	GO:0003993	2	QX1791,QX1793
IV	6514752	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	6621626	MIRAGE1	promoter	C01B10.3	NA	protein_coding	NA	NA	4	ECA36,MY16,MY23,QX1211
IV	6653144	MAR_CE	intergenic	NA	NA	NA	NA	NA	1	QX1211
IV	6660724	Tc1	intergenic	NA	NA	NA	NA	NA	2	CB4851,ECA252
IV	6666984	Tc2	intron	Y73B6A.1	NA	protein_coding	NA	GO:0004672,GO:0005524,GO:0006468,GO:0016772	2	CB4851,ECA252
IV	6769513	MARINCE1	promoter	C17H12.13	anat-1	protein_coding	NA	GO:0008080	2	ECA36,QX1211
IV	6811548	Tc1	promoter	C17H12.9	ceh-48	protein_coding	NA	GO:0003677	1	QX1211
IV	6818139	Tc1	promoter	C17H12.5	NA	protein_coding	NA	GO:0004725,GO:0006470	1	CB4851
IV	6818139	Tc1	promoter	C17H12.8	NA	protein_coding	NA	NA	1	CB4851
IV	6837125	Tc1	intergenic	NA	NA	NA	NA	NA	2	CB4851,ECA252
IV	6925564	Tc1	intergenic	NA	NA	NA	NA	NA	2	CB4851,ECA252
IV	6926884	MIRAGE1	CDS	T22D1.11	NA	protein_coding	NA	NA	1	JU847
IV	6983903	Tc1	gene	ZK381.37	NA	other	NA	NA	1	ECA252
IV	6983903	Tc1	intron	ZK381.5	prkl-1	protein_coding	embryonic lethal	GO:0008270,GO:0009792	1	ECA252
IV	6996860	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	7050843	Tc1	intron	C06G3.1	nhr-105	protein_coding	NA	GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0043401,GO:0008270,GO:0043565,GO:0003677	1	CB4851
IV	7058098	MARINCE1	intron	Y43B11AL.2	srx-50	protein_coding	NA	GO:0016021	2	ECA36,QX1211
IV	7089217	Tc1	intron	ZC477.9	deb-1	protein_coding	embryonic lethal,early larval lethal,maternal sterile	GO:0005515,GO:0055120,GO:0005198,GO:0007155,GO:0015629,GO:0000003,GO:0009792,GO:0030163	1	ECA252
IV	7254602	LINE2C	promoter	C06E4.5	NA	protein_coding	NA	GO:0016772	1	JU1586
IV	7352246	Tc1	CDS	Y40C5A.4	NA	protein_coding	NA	GO:0006071,GO:0008889,GO:0016021,GO:0006629,GO:0008081	1	CB4851
IV	7393793	Tc1	intron	C48A7.2	pitr-1	protein_coding	embryonic lethal,sick,sterile progeny	GO:0005315,GO:0006817,GO:0016020,GO:0009792,GO:0040035,GO:0040027,GO:0000003,GO:0040035,GO:0040035,GO:0000003	1	CB4851
IV	7401943	Tc1A	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	7455350	Tc1	promoter	F13B6.1	NA	protein_coding	NA	GO:0019915,GO:0008340	1	CB4851
IV	7499846	Tc1	CDS	F55G1.15	NA	protein_coding	NA	NA	1	CB4851
IV	7516884	MARINCE1	intron	R05G6.3	NA	protein_coding	NA	NA	2	ECA36,QX1211
IV	7654073	Tc2	intron	F45E4.10	nrde-4	protein_coding	NA	GO:0016246	1	QX1211
IV	7654073	Tc2	intron	F45E4.11	cima-1	protein_coding	NA	GO:0005764,GO:0015136,GO:0015739,GO:0042176,GO:0050807,GO:0016021,GO:0055085	1	QX1211
IV	7685604	PALNN1_CE	intron	F33D4.2	itr-1	protein_coding	sterile,late larval arrest,maternal sterile,slow growth	GO:0001556,GO:0005220,GO:0005515,GO:0005783,GO:0006936,GO:0007204,GO:0007622,GO:0012501,GO:0016020,GO:0017022,GO:0030334,GO:0030421,GO:0042713,GO:0043051,GO:0048598,GO:0048609,GO:0051489,GO:0060179,GO:0006816,GO:0005262,GO:0070588,GO:0005216,GO:0006811,GO:0055085,GO:0005488,GO:0000003,GO:0000003,GO:0000003,GO:0034607,GO:0007320,GO:0000003,GO:0006898,GO:0030421,GO:0030728,GO:0000003,GO:0030728,GO:0000003,GO:0040011,GO:0040007,GO:0030163,GO:0030163,GO:0030163,GO:0030163,GO:0000003	1	DL238
IV	7720882	WBT00000046	intron	C50F7.6	NA	protein_coding	NA	NA	1	QX1793
IV	7722968	Tc1	intron	C50F7.6	NA	protein_coding	NA	NA	1	CB4851
IV	7825040	Tc1	intron	T14A8.2	NA	protein_coding	NA	GO:0071688	1	CB4851
IV	7854885	MARINER2	intergenic	NA	NA	NA	NA	NA	1	QX1211
IV	7855134	MARINER2	intergenic	NA	NA	NA	NA	NA	1	ECA36
IV	7977571	MARINER2	promoter	F57H12.3	ora-1	protein_coding	NA	NA	1	CB4856
IV	7977571	MARINER2	promoter	F57H12.6	NA	protein_coding	NA	NA	1	CB4856
IV	8012253	Tc5	intron	Y42H9B.3	NA	protein_coding	sterile	GO:0000003	1	ED3005
IV	8022481	Tc4v	promoter	C26B2.2	NA	protein_coding	NA	GO:0008340	1	QX1211
IV	8035551	Tc3	intergenic	NA	NA	NA	NA	NA	6	JU2316,JU2526,JU775,NIC251,NIC261,NIC265
IV	8043576	MARINCE1	promoter	C26B2.4	nhr-258	protein_coding	NA	GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0043401,GO:0008270,GO:0043565,GO:0003677	2	ECA36,QX1211
IV	8106595	Tc2	intron	Y42H9AR.3	rabs-5	protein_coding	NA	GO:0005515,GO:0006898,GO:0006907,GO:0032266,GO:0046872	1	ECA36
IV	8145801	Tc1	intron	F42G8.3	pmk-2	protein_coding	larval arrest,embryonic lethal,sick,sterile progeny,lethal	GO:0004672,GO:0005524,GO:0006468,GO:0004707,GO:0016772,GO:0002119,GO:0000003,GO:0002119,GO:0040035,GO:0000003,GO:0002119,GO:0040035,GO:0000003,GO:0002119,GO:0000003,GO:0009792,GO:0002119,GO:0000003,GO:0009792,GO:0002119,GO:0002119,GO:0000003	1	CB4851
IV	8333337	Tc1	CDS	F17E9.11	lys-10	protein_coding	NA	GO:0005975	1	ECA252
IV	8357164	Tc2	intron	F17E9.1	col-116	protein_coding	NA	GO:0042302	2	CB4851,ECA252
IV	8399985	Tc5	intergenic	NA	NA	NA	NA	NA	1	ED3046
IV	8423844	Tc1	exon	T26A8.5	srz-84	pseudogene	NA	NA	2	CB4851,ECA252
IV	8651072	MARINER2	promoter	C49C8.2	NA	protein_coding	NA	NA	1	CB4856
IV	8651072	MARINER2	intron	C49C8.5	NA	protein_coding	NA	GO:0045087	1	CB4856
IV	8680733	MARINER2	promoter	F08B4.4	NA	protein_coding	NA	NA	1	JU2001
IV	8779977	Tc5	exon	C33D9.5	NA	pseudogene	NA	NA	1	DL238
IV	8817515	MIRAGE1	CDS	T28C6.1	grsp-2	protein_coding	NA	NA	1	NIC199
IV	8833979	Tc1	CDS	T28C6.7	NA	protein_coding	NA	NA	1	ECA252
IV	8972679	Tc1	intron	C53B4.3	NA	protein_coding	NA	GO:0005634,GO:0005215,GO:0005886,GO:0016021,GO:0055085,GO:0040039,GO:0071688	2	CB4851,ECA252
IV	8978077	MARINER2	intron	C53B4.4	NA	protein_coding	NA	GO:0005515,GO:0035556	1	JU775
IV	9111204	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	JU561
IV	9140307	Tc2	intron	F23B2.4	daf-10	protein_coding	NA	GO:0035058,GO:0042221,GO:0043053,GO:0046626,GO:0097500,GO:0005515	1	JU2007
IV	9145037	Tc2	intron	F23B2.4	daf-10	protein_coding	NA	GO:0035058,GO:0042221,GO:0043053,GO:0046626,GO:0097500,GO:0005515	1	JU642
IV	9145037	Tc2	intron	F23B2.5	flp-1	protein_coding	NA	GO:0006972,GO:0007218,GO:0007626,GO:0007638,GO:0046662	1	JU642
IV	9157901	MARINER2	intron	F23B2.11	pcp-3	protein_coding	NA	GO:0045121,GO:0006508,GO:0008236	3	MY16,MY23,QX1794
IV	9197755	Tc5	intergenic	NA	NA	NA	NA	NA	1	JU778
IV	9226380	MARINER2	intron	C46C2.3	NA	protein_coding	NA	NA	1	QX1211
IV	9229934	MIRAGE1	gene	Y11D7A.1	Y11D7A.1	pseudogene	NA	NA	1	CB4856
IV	9234616	Tc2	intron	Y11D7A.3	NA	protein_coding	NA	NA	1	ECA36
IV	9288698	MIRAGE1	intergenic	NA	NA	NA	NA	NA	18	CB4932,ED3052,JU1212,JU1213,JU1491,JU1581,JU2001,JU393,JU394,JU397,JU561,JU782,JU792,JU847,LKC34,NIC199,NIC269,NIC271
IV	9305979	Tc1	intron	F49C12.5	NA	protein_coding	NA	NA	1	ECA252
IV	9307076	Tc1	CDS	F49C12.5	NA	protein_coding	NA	NA	1	ECA252
IV	9370984	Tc1	promoter	C10C5.2	NA	protein_coding	NA	GO:0045087	1	ECA252
IV	9382915	Tc1	intron	C10C5.5	NA	protein_coding	NA	GO:0008152,GO:0016787,GO:0004046,GO:0005737,GO:0006520	1	ECA252
IV	9398693	WBT00000416	promoter	F56D5.2	NA	protein_coding	NA	NA	2	EG4725,NIC266
IV	9398693	WBT00000416	promoter	F56D5.3	NA	protein_coding	NA	GO:0010181,GO:0016491,GO:0055114,GO:0003824	2	EG4725,NIC266
IV	9450361	Tc1	promoter	F38E11.3	cpin-1	protein_coding	NA	GO:0016787,GO:0016810	1	CB4851
IV	9450361	Tc1	intron	F38E11.4	cutl-17	protein_coding	NA	NA	1	CB4851
IV	9483818	Tc1	CDS	C33A12.12	gadr-2	protein_coding	NA	GO:0005488	1	CB4851
IV	9497240	MIRAGE1	CDS	C33A12.11	sru-3	protein_coding	NA	NA	1	JU1581
IV	9502424	Tc1	CDS	C33A12.6	ugt-21	protein_coding	NA	GO:0008152,GO:0016758,GO:0019915	1	ECA252
IV	9538153	Tc6	intergenic	NA	NA	NA	NA	NA	34	AB1,CB4852,CB4853,CB4856,CB4858,CX11264,CX11271,CX11276,CX11285,CX11314,DL238,ECA252,ED3040,JU1581,JU311,JU394,JU774,JU775,JU778,JU847,LSJ1,MY16,MY1,MY23,NIC195,NIC1,NIC231,NIC236,NIC3,PX179,QG536,QX1212,QX1793,RC301
IV	9571046	Tc9	intron	T05A1.1	npr-2	protein_coding	NA	GO:0004930,GO:0007186,GO:0016021,GO:0004983,GO:0040011	2	ECA36,QX1211
IV	9578495	MARINER2	intron	T05A1.1	npr-2	protein_coding	NA	GO:0004930,GO:0007186,GO:0016021,GO:0004983,GO:0040011	1	EG4349
IV	9583571	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
IV	9606574	MARINER2	intergenic	NA	NA	NA	NA	NA	1	QX1211
IV	9636444	MIRAGE1	promoter	W09C2.3	mca-1	protein_coding	slow growth	GO:0005388,GO:0005516,GO:0006816,GO:0006874,GO:0016020,GO:0006812,GO:0016021,GO:0019829,GO:0005524,GO:0070588,GO:0000166,GO:0046872,GO:0040011	1	NIC271
IV	9698421	Tc1	intron	ZK1251.9	dcaf-1	protein_coding	slow growth,sterile progeny,embryonic lethal,sterile F1	GO:0005515,GO:0005488,GO:0040035,GO:0000003,GO:0009792,GO:0006898	1	CB4851
IV	9713605	Tc1	intron	K01H12.4	NA	protein_coding	NA	NA	1	ECA252
IV	9749153	Tc1	exon	C28D4.11	NA	pseudogene	NA	NA	1	CB4851
IV	9758185	Tc1	intron	H27C11.1	nhr-97	protein_coding	NA	GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0043401,GO:0008270,GO:0043565,GO:0003677	1	ECA252
IV	9761390	MARINER2	intron	H27C11.1	nhr-97	protein_coding	NA	GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0043401,GO:0008270,GO:0043565,GO:0003677	4	JU775,NIC251,NIC261,NIC265
IV	9769903	PALTA3_CE	promoter	T13F2.11	msp-78	protein_coding	NA	GO:0005198,GO:0019915	1	QX1793
IV	9771970	Tc9	intron	T13F2.8	cav-1	protein_coding	sick	GO:0005887,GO:0005901,GO:0005938,GO:0007126,GO:0007265,GO:0009898,GO:0030133,GO:0040007,GO:0045121,GO:0046662,GO:0048471,GO:0060473,GO:0040011	2	ECA36,QX1211
IV	9792992	Tc4v	intron	T13F2.3	pis-1	protein_coding	NA	GO:0040018,GO:0040018	1	QX1211
IV	9809638	Tc1	CDS	W08D2.3	dct-15	protein_coding	NA	NA	1	CB4851
IV	9896127	Tc1	three_prime_UTR	F32B6.7	ssp-32	protein_coding	slow growth	GO:0005198	1	CB4851
IV	9896383	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
IV	9909029	PALNN1_CE	gene	F25H8.24	NA	other	NA	NA	8	CB4851,ECA252,JU1652,JU1896,MY10,NIC259,NIC262,QW947
IV	9909031	CEMUDR1	gene	F25H8.24	NA	other	NA	NA	8	CB4851,ECA252,JU1652,JU1896,MY10,NIC259,NIC262,QW947
IV	9912944	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	9916452	Tc1	promoter	F25H8.6	bed-3	protein_coding	larval arrest,slow growth	GO:0018996,GO:0051302,GO:0072327,GO:0003677,GO:0002119,GO:0018996,GO:0018991	1	CB4851
IV	9977447	Tc6	promoter	C47E12.14	NA	protein_coding	NA	NA	1	QX1211
IV	9977447	Tc6	promoter	C47E12.8	dhp-2	protein_coding	NA	GO:0004157,GO:0005737,GO:0006208,GO:0016812,GO:0046113,GO:0016787,GO:0016810	1	QX1211
IV	10026371	Tc1	intergenic	NA	NA	NA	NA	NA	1	QX1211
IV	10117116	Tc2	intron	C04G2.10	NA	protein_coding	NA	GO:0016772	8	CB4851,ECA252,JU1652,JU1896,MY10,NIC259,NIC262,QW947
IV	10208274	HELITRONY1A_CE	intron	C24F3.5	abt-1	protein_coding	NA	GO:0016246,GO:0005524,GO:0016887	1	QX1211
IV	10213949	Tc1	intron	C24F3.5	abt-1	protein_coding	NA	GO:0016246,GO:0005524,GO:0016887	1	ECA252
IV	10227874	MARINER2	promoter	F01G10.6	NA	protein_coding	NA	NA	1	NIC231
IV	10249016	Tc1	intron	F01G10.10	NA	protein_coding	NA	GO:0008289	1	CB4851
IV	10271715	Tc1	CDS	Y43C5A.2	NA	protein_coding	NA	NA	1	ECA252
IV	10321241	LTRCER1	promoter	R09E10.1	NA	protein_coding	NA	NA	1	QG2075
IV	10332112	Tc1	intron	K11E8.1	unc-43	protein_coding	NA	GO:0004683,GO:0006468,GO:0006952,GO:0009931,GO:0018107,GO:0040011,GO:0040017,GO:0040018,GO:0043005,GO:0044325,GO:0051932,GO:0004672,GO:0005524,GO:0016772,GO:0005516,GO:0040011,GO:0007067	1	CB4851
IV	10420304	MARINER2	intergenic	NA	NA	NA	NA	NA	4	JU775,NIC251,NIC261,NIC265
IV	10468242	Tc1	promoter	F01D4.2	ugt-44	protein_coding	NA	GO:0045087,GO:0008152,GO:0016758	1	CB4851
IV	10520125	LTRCER1	intergenic	NA	NA	NA	NA	NA	1	JU2526
IV	10587412	Tc1A	three_prime_UTR	C43F9.10	oac-8	protein_coding	NA	GO:0016747	1	CB4851
IV	10630006	Tc1	intron	F56C4.4	NA	protein_coding	NA	NA	1	CB4851
IV	10656657	MARINCE1	promoter	K08C7.1	NA	protein_coding	NA	GO:0016021,GO:0055085	4	JU778,JU782,NIC256,NIC271
IV	10659634	Tc1	intron	K08C7.1	NA	protein_coding	NA	GO:0016021,GO:0055085	2	MY16,MY23
IV	10846489	Tc1	promoter	T11G6.7	NA	pseudogene	NA	NA	2	CB4851,ECA252
IV	10900676	Tc4v	intron	ZK596.1	NA	protein_coding	NA	NA	1	QX1211
IV	10900694	Tc1	intron	ZK596.1	NA	protein_coding	NA	NA	1	CB4851
IV	10966757	MIRAGE1	intron	Y69E1A.8	NA	protein_coding	NA	NA	1	QX1792
IV	10981300	Tc2	promoter	Y43E12A.2	NA	protein_coding	NA	GO:0005739	2	CB4851,ECA252
IV	11043785	Tc2	intron	F36H1.2	kdin-1	protein_coding	slow growth,sterile progeny,sterile F1	GO:0005515,GO:0010171,GO:0040035,GO:0010171,GO:0000003,GO:0010171,GO:0040035,GO:0006898	1	JU2466
IV	11047976	Tc1	promoter	F36H1.11	NA	protein_coding	NA	NA	1	CB4851
IV	11068983	MARINER2	promoter	Y5F2A.2	ttr-17	protein_coding	NA	GO:0005615	1	JU775
IV	11068983	MARINER2	promoter	Y5F2A.3	NA	pseudogene	NA	NA	1	JU775
IV	11112455	Tc5	promoter	T05E11.1	rps-5	protein_coding	sterile,maternal sterile,early larval arrest,embryonic lethal,pleiotropic defects severe early emb,slow growth,larval arrest	GO:0006412,GO:0003735,GO:0015935,GO:0000003,GO:0000003,GO:0002119,GO:0009792,GO:0008340,GO:0006915,GO:0000003,GO:0002119	1	QX1211
IV	11112455	Tc5	promoter	T05E11.2	NA	protein_coding	NA	GO:0016021	1	QX1211
IV	11266207	Tc1	promoter	F54D1.3	col-127	protein_coding	NA	GO:0042302	1	DL238
IV	11272418	Tc2	promoter	F54D1.5	gtl-2	protein_coding	NA	GO:0009925,GO:0005216,GO:0006811,GO:0016020,GO:0055085	1	JU2007
IV	11293062	Tc1	intron	F54D1.6	NA	protein_coding	slow growth,early larval arrest,larval arrest,maternal sterile	GO:0007160,GO:0002119,GO:0000003,GO:0006898	1	CB4851
IV	11387516	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
IV	11446789	Tc1	three_prime_UTR	C10C6.1	kin-4	protein_coding	embryonic lethal,sterile progeny	GO:0004672,GO:0005524,GO:0006468,GO:0005515,GO:0016772,GO:0000287,GO:0004674,GO:0000003,GO:0009792	1	CB4851
IV	11561932	Chapaev-1_CE	promoter	F12F6.7	NA	protein_coding	embryonic lethal,slow growth,maternal sterile,sterile progeny,lethal	GO:0003677,GO:0003887,GO:0006260,GO:0009792,GO:0009792,GO:0000003,GO:0009792,GO:0040011,GO:0040035,GO:0000003,GO:0000003,GO:0009792	1	ECA36
IV	11650256	Tc3	promoter	ZK809.8	NA	protein_coding	slow growth	GO:0040018	4	JU2526,JU775,NIC251,NIC261
IV	11709103	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	DL238
IV	11711052	Tc1	intergenic	NA	NA	NA	NA	NA	2	CB4851,ECA252
IV	11725508	MARINER2	intron	K01A6.2	magi-1	protein_coding	NA	GO:0005912,GO:0007616,GO:0008013,GO:0032880,GO:0035254,GO:0045202,GO:0046959,GO:0005515	1	JU394
IV	11750696	Tc1	CDS	T12A7.6	NA	protein_coding	NA	NA	1	ECA252
IV	11756433	Tc1	three_prime_UTR	T12A7.2	NA	protein_coding	NA	GO:0005515	1	CB4851
IV	11758734	MARINER2	intron	T12A7.2	NA	protein_coding	NA	GO:0005515	1	JU1440
IV	11766541	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
IV	11789917	Tc5	intron	H01G02.3	NA	protein_coding	NA	NA	1	JU1213
IV	11808883	Tc1	gene	M117.14	linc-151	other	NA	NA	1	CB4851
IV	11813041	Tc3	promoter	M117.1	NA	protein_coding	NA	GO:0016021,GO:0055085	1	MY1
IV	11840884	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	EG4349
IV	11874481	Tc1	intron	C29E6.2	trpa-1	protein_coding	embryonic lethal,sterile progeny,maternal sterile	GO:0031513,GO:0043025,GO:0005515,GO:0005216,GO:0006811,GO:0016020,GO:0055085,GO:0009792,GO:0000003,GO:0000003	1	CB4851
IV	11915321	Tc1	five_prime_UTR	VZK822L.1	fat-6	protein_coding	sterile,maternal sterile,embryonic lethal,sterile progeny,slow growth,larval arrest	GO:0004768,GO:0007275,GO:0030176,GO:0042759,GO:0045087,GO:0006629,GO:0016717,GO:0055114,GO:0009792,GO:0000003,GO:0040011,GO:0000003,GO:0006898,GO:0040018,GO:0008340,GO:0000003,GO:0018991,GO:0008340,GO:0019915,GO:0009792,GO:0040018,GO:0002119,GO:0002119,GO:0000003,GO:0000003	1	CB4851
IV	11915321	Tc1	promoter	ZK822.9	NA	protein_coding	NA	NA	1	CB4851
IV	11968695	Chapaev-1_CE	exon	ZK829.10	snf-8	pseudogene	NA	NA	1	JU1568
IV	11993201	Tc1	intron	ZK617.1	unc-22	protein_coding	sterile	GO:0004674,GO:0018105,GO:0018107,GO:0031672,GO:0004672,GO:0005524,GO:0006468,GO:0005515,GO:0016772,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0000003,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040027,GO:0040011,GO:0040027,GO:0040018,GO:0040011,GO:0040018,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0030163,GO:0040011	1	CX11315
IV	12008793	MARINER2	intron	ZK617.1	unc-22	protein_coding	sterile	GO:0004674,GO:0018105,GO:0018107,GO:0031672,GO:0004672,GO:0005524,GO:0006468,GO:0005515,GO:0016772,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0000003,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040027,GO:0040011,GO:0040027,GO:0040018,GO:0040011,GO:0040018,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0030163,GO:0040011	1	JU775
IV	12021902	Tc5	intergenic	NA	NA	NA	NA	NA	1	QX1793
IV	12072678	MARINCE1	intron	K08E4.5	bath-37	protein_coding	NA	GO:0016021	1	CX11276
IV	12212998	MIRAGE1	intron	F35G2.4	phy-2	protein_coding	NA	GO:0005783,GO:0031545,GO:0043412,GO:0055114,GO:0016491,GO:0016706,GO:0005506,GO:0016705,GO:0031418,GO:0005515,GO:0004656,GO:0016702	1	NIC199
IV	12234055	Tc1	promoter	Y39C12A.4	sre-17	pseudogene	NA	NA	1	DL238
IV	12292016	Tc2	intron	C42C1.8	NA	protein_coding	NA	GO:0016021,GO:0055085	1	MY10
IV	12345533	MARINCE1	intergenic	NA	NA	NA	NA	NA	1	ECA36
